movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Pitch Black,Riddick,Alien³,Serenity,Star Trek III: The Search for Spock,Soldier
Someone Like You...,It's Complicated,27 Dresses,The Ugly Truth,42nd Street,Becoming Jane
Her,Veer-Zaara,Code 46,Love Letters,Two Girls and a Guy,The Time Traveler's Wife
Joy Ride,Deterrence,The Dead Girl,Devil,The Jimmy Show,Congo
The Adventurer: The Curse of the Midas Box,The Indian in the Cupboard,The Master of Disguise,Spirited Away,Hotel Transylvania 2,Inkheart
Anywhere But Here,Divine Secrets of the Ya-Ya Sisterhood,Clueless,Lovely & Amazing,The Perfect Man,Riding in Cars with Boys
The Crew,The Helix... Loaded,Khiladi 786,Amidst the Devil's Wings,RED,King's Ransom
Haywire,Point Blank,Safe House,I Spy,Left Behind,San Andreas
Jaws: The Revenge,The Reef,Jaws,The Shallows,Jaws 2,Bait
Marvin's Room,The Eye,Rachel Getting Married,One True Thing,Atonement,The Savages
The Longshots,Seabiscuit,Fruitvale Station,Chariots of Fire,Boyhood,This Christmas
The End of the Affair,Love Letters,The Great Gatsby,Sarah's Key,Before Sunset,The Prestige
Harley Davidson and the Marlboro Man,American Heist,Silver Medalist,Checkmate,30 Minutes or Less,Mad Max
In the Valley of Elah,I Come with the Rain,Street Kings,Frenzy,Wonderland,Nine Queens
Coco Before Chanel,Mozart's Sister,Nowhere Boy,Vanity Fair,The Iron Lady,Rachel Getting Married
Forsaken,Dear John,The Judge,Because of Winn-Dixie,The Business of Fancydancing,The New World
Cheri,Life During Wartime,Lovely & Amazing,Full Frontal,My Big Fat Greek Wedding 2,The Love Letter
Vanity Fair,Compliance,My Fair Lady,Coco Before Chanel,Match Point,The Women
Bodyguards and Assassins,The Warlords,Hero,The Assassin,1911,The Specials
1408,Dirty Pretty Things,The Grand Budapest Hotel,Four Rooms,The Beyond,Bobby
Spaceballs,History of the World: Part I,High Anxiety,The Helix... Loaded,Galaxina,Alien³
The Water Diviner,Fort McCoy,Operation Chromite,Inchon,Red Tails,Love Me Tender
Ghost,I Am Sam,"You, Me and Dupree",Brothers,Nowhere to Run,Lone Star
There's Something About Mary,Trippin',Prom,Drive Me Crazy,Win a Date with Tad Hamilton!,Swept Away
The Santa Clause,Arthur Christmas,Elf,The Santa Clause 2,A Christmas Story,Bad Santa
The Rookie,American Wedding,The Benchwarmers,The Bad News Bears,The Perfect Game,Madison
The Game Plan,Joe Somebody,Orgazmo,The Bad News Bears,Jersey Girl,We Are Marshall
The Bridges of Madison County,A Walk on the Moon,The Duchess,Fur: An Imaginary Portrait of Diane Arbus,Closer,Far from Heaven
The Animal,Raising Helen,90 Minutes in Heaven,Memoirs of an Invisible Man,Up,Krrish
Gandhi,"Gandhi, My Father",The Wind That Shakes the Barley,A Passage to India,Guiana 1838,Bloody Sunday
The Hundred-Foot Journey,The Master of Disguise,Growing Up Smith,Ratatouille,The Iceman,Hoot
The Net,Hackers,Plush,Trash,The International,Speed 2: Cruise Control
I Am Sam,The Motel,Brothers,Cape Fear,Nowhere to Run,Ghost
Son of God,Risen,The Loss of Sexual Innocence,Winnie Mandela,Desert Dancer,The Robe
Underworld,Underworld: Evolution,Wolf,Underworld: Awakening,Underworld: Rise of the Lycans,The Twilight Saga: Eclipse
Derailed,Fatal Attraction,Out of the Furnace,The Boy Next Door,The Revenant,The Last House on the Left
The Informant!,The Hudsucker Proxy,Secret in Their Eyes,Jesus' Son,Easy Money,Madea's Witness Protection
Shadowlands,Stranger Than Fiction,The Sticky Fingers of Time,The Mirror Has Two Faces,Raising Helen,A Walk on the Moon
Deuce Bigalow: European Gigolo,Hostel,Unfinished Business,Hardball,"Big Mommas: Like Father, Like Son",Rio 2
Delivery Man,"Yours, Mine and Ours",Dumb and Dumber To,Wonder Boys,The World's End,The Dictator
Our Kind of Traitor,The Pelican Brief,"Batman: The Dark Knight Returns, Part 2","As Above, So Below",Water,The Rainmaker
Saving Silverman,Shallow Hal,The Salon,Walking and Talking,The Ladykillers,Jesus' Son
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Rodrick Rules,Recess: School's Out,There Goes My Baby,Snow Day,Diary of a Wimpy Kid
Summer of Sam,Sugar Hill,Deuces Wild,Dead Man Down,Four Single Fathers,My Summer of Love
Jay and Silent Bob Strike Back,Chasing Amy,The Artist,Saving Mr. Banks,Extreme Movie,Disaster Movie
The Glass House,Ruby in Paradise,Dream with the Fishes,Excessive Force,Freddy Got Fingered,Jimmy Neutron: Boy Genius
"Hail, Caesar!",Bucky Larson: Born to Be a Star,The Artist,Cats Don't Dance,Where the Truth Lies,"Good Night, and Good Luck."
Josie and the Pussycats,Down & Out With The Dolls,The Boat That Rocked,Can't Stop the Music,The Rocker,Because of Winn-Dixie
Homefront,Torque,3 Days to Kill,The Long Kiss Goodnight,Commando,District B13
The Little Vampire,Interview with the Vampire,Blade,The Twilight Saga: Breaking Dawn - Part 2,Underworld: Awakening,The Forsaken
I Heart Huckabees,The Gift,Silver Linings Playbook,Good Intentions,About Schmidt,What to Expect When You're Expecting
RoboCop 3,Babylon A.D.,The Thief and the Cobbler,Brick Mansions,The Matrix Revolutions,Hobo with a Shotgun
Megiddo: The Omega Code 2,I Spy,Æon Flux,World War Z,Atlas Shrugged Part II,Surrogates
Darling Lili,Restless,The Quiet American,The Addams Family,A Bridge Too Far,Fort McCoy
Dudley Do-Right,The Claim,R.L. Stine's Monsterville: The Cabinet of Souls,Without Men,16 to Life,The Little Ponderosa Zoo
The Transporter Refueled,Wicked Blood,Khiladi 786,Amidst the Devil's Wings,Hot Rod,Lethal Weapon 4
The Libertine,Bright Star,The New World,The Love Letter,The Loss of Sexual Innocence,Mongol: The Rise of Genghis Khan
Black Book,Winter in Wartime,Red Tails,Unbroken,U-571,Fort McCoy
Joyeux Noël,Fort McCoy,Flyboys,Inchon,Operation Chromite,Red Tails
Hit & Run,The Young Unknowns,Gun Shy,Did You Hear About the Morgans?,The Perfect Match,Undiscovered
Mad Money,The Helix... Loaded,Khiladi 786,Amidst the Devil's Wings,Bound,The Crew
Before I Go to Sleep,Premonition,The I Inside,Jason Bourne,Femme Fatale,The Unborn
Sorcerer,On Deadly Ground,The World Is Not Enough,Money Talks,The Saint,30 Minutes or Less
Stone,Highway,Ladder 49,Firewall,Little Fockers,A Thousand Words
Moliere,Julia,Lovely & Amazing,Boynton Beach Club,Divine Secrets of the Ya-Ya Sisterhood,The Four Seasons
Out of the Furnace,Dead Man's Shoes,American History X,Blood Ties,Prison,Brother
Michael Clayton,Amidst the Devil's Wings,The Rainmaker,The Firm,Blood Ties,The Usual Suspects
My Fellow Americans,Absolute Power,White House Down,Man of the Year,The American President,Primary Colors
Arlington Road,88 Minutes,The X Files: I Want to Believe,Salton Sea,Flash of Genius,Sicario
Underdogs,Elmer Gantry,Savva. Heart of the Warrior,The Smurfs,Pocahontas,We Are Marshall
To Rome with Love,Ong Bak 2,The Slaughter Rule,Midnight in Paris,Beginners,Hostel: Part II
Firefox,Rescue Dawn,Tracker,Broken Arrow,Top Gun,Rambo: First Blood Part II
"South Park: Bigger, Longer & Uncut",Fantasia 2000,Extreme Movie,Aqua Teen Hunger Force Colon Movie Film for Theaters,Alvin and the Chipmunks: The Squeakquel,Alleluia! The Devil's Carnival
Death at a Funeral,Eulogy,Harriet the Spy,City Island,The Pacifier,Four Weddings and a Funeral
Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,The Helix... Loaded,47 Ronin,The Wolverine,Godzilla 2000
Hardball,The Slaughter Rule,On the Line,Beginners,The Benchwarmers,Rounders
Silver Linings Playbook,Joy,Vicky Cristina Barcelona,About Schmidt,Meet the Fockers,Two Lovers
Freedom Writers,21 Jump Street,The Wave,The Class,God's Not Dead 2,The History Boys
For Colored Girls,Set It Off,The Flowers of War,The Homesman,Two Girls and a Guy,Caramel
The Transporter,The Transporter Refueled,Transporter 2,The Naked Gun 33⅓: The Final Insult,Hot Rod,Training Day
Never Back Down,Undisputed,To Save A Life,The Last Dragon,Bloodsport,Fight Valley
The Rage: Carrie 2,Something Borrowed,Imagine Me & You,Disturbing Behavior,Major League,Carrie
Away We Go,Jimmy Neutron: Boy Genius,Date Movie,Another Happy Day,Welcome to the Dollhouse,51 Birch Street
Swing Vote,Wag the Dog,Blue Like Jazz,Man of the Year,Anomalisa,Head of State
Moonlight Mile,Kites,Anomalisa,The Slaughter Rule,Jesus' Son,Two Lovers
Tinker Tailor Soldier Spy,The Sentinel,Blood Work,Mission: Impossible,Awake,Restless
Molly,Chuck & Buck,Happy Christmas,Moonlight Mile,Not Easily Broken,Boynton Beach Club
The Beaver,The Muppets,Another Happy Day,The Hotel New Hampshire,Happy Christmas,Eulogy
The Best Little Whorehouse in Texas,Blazing Saddles,Bats,Rango,Holy Man,30 Days of Night
eXistenZ,Stay Alive,Gamer,Pathology,Pixels,Spy Kids 3-D: Game Over
Raiders of the Lost Ark,Indiana Jones and the Last Crusade,Indiana Jones and the Temple of Doom,Indiana Jones and the Kingdom of the Crystal Skull,National Treasure,Lara Croft: Tomb Raider
Home Alone 2: Lost in New York,Home Alone,Christmas with the Kranks,Bad Santa,A Charlie Brown Christmas,Love the Coopers
Close Encounters of the Third Kind,The Day the Earth Stood Still,E.T. the Extra-Terrestrial,Contact,Independence Daysaster,CJ7
Pulse,Hackers,Live Free or Die Hard,The Ring Two,Devil,Ouija
Beverly Hills Cop II,Beverly Hills Cop,Beverly Hills Cop III,Action Jackson,Wonderland,The Departed
Bringing Down the House,Thinner,Forgetting Sarah Marshall,The Judge,Bridget Jones's Diary,The Age of Innocence
The Silence of the Lambs,Red Dragon,Suspect Zero,Eddie: The Sleepwalking Cannibal,Hannibal Rising,Blood Work
Wayne's World,Frat Party,Can't Hardly Wait,My Big Fat Greek Wedding 2,Edtv,Strange Wilderness
Jackass 3D,Disaster Movie,Extreme Movie,Jackass: The Movie,Khiladi 786,Jackass Number Two
Jaws 2,Jaws,Jaws: The Revenge,The Reef,The Shallows,Shark Night
Beverly Hills Chihuahua,Cars 2,The Lost Medallion: The Adventures of Billy Stone,Troop Beverly Hills,Peeples,Bolt
The Conjuring,Insidious: Chapter 2,Insidious,Ouija,The Conjuring 2,High Tension
Are We There Yet?,Youth in Revolt,Brokedown Palace,What Women Want,Anderson's Cross,Mad Hot Ballroom
Tammy,Identity Thief,Road Hard,I Don't Know How She Does It,Friday,Christmas Mail
School of Rock,Bad Teacher,Snow Day,Down & Out With The Dolls,Here Comes the Boom,Hedwig and the Angry Inch
Mortal Kombat,Mortal Kombat: Annihilation,Lara Croft: Tomb Raider,Dragonslayer,Harry Potter and the Goblet of Fire,Small Soldiers
White Chicks,The X Files: I Want to Believe,"Big Mommas: Like Father, Like Son",The Jackal,Miss Congeniality 2: Armed and Fabulous,Mindhunters
The Descendants,Jersey Girl,The Crime of Padre Amaro,Another Happy Day,Glengarry Glen Ross,Bathory: Countess of Blood
Holes,Daddy Day Camp,The Borrowers,Nicholas Nickleby,Eulogy,The Odd Life of Timothy Green
The Last Song,Amour,Yentl,Love Me Tender,Footloose,Bandslam
12 Years a Slave,Solomon and Sheba,"Synecdoche, New York",Raising Helen,Stonewall,Autumn in New York
Drumline,Four Single Fathers,Boynton Beach Club,Lovely & Amazing,Duets,Blue Like Jazz
Why Did I Get Married Too?,Good Deeds,Why Did I Get Married?,Madea Goes to Jail,Quartet,What to Expect When You're Expecting
Edward Scissorhands,Mumford,The Best of Me,Two Lovers and a Bear,Twilight,All the Real Girls
Me Before You,Anomalisa,Say It Isn't So,Kites,Futuro Beach,Pollock
Madea's Witness Protection,Madea's Family Reunion,Madea Goes to Jail,I Can Do Bad All By Myself,A Madea Christmas,Good Deeds
The French Connection,Training Day,Chicago Overcoat,The Death and Life of Bobby Z,Easy Money,Kiss of the Dragon
Bad Moms,Keeping Up with the Steins,My Big Fat Greek Wedding 2,Sanctuary: Quite a Conundrum,Neighbors,Eulogy
Date Movie,Meet the Fockers,Freddy Got Fingered,Another Happy Day,Guess Who,My Big Fat Greek Wedding
Return to Never Land,Rise of the Guardians,The Croods,Valiant,Foodfight!,Spirited Away
Selma,Bloody Sunday,Mandela: Long Walk to Freedom,Invictus,The Tailor of Panama,Evita
The Jungle Book 2,The Jungle Book,Jungle Shuffle,Rio 2,Curious George,The Country Bears
Boogeyman,The Crime of Padre Amaro,The Man from Snowy River,Raising Cain,Don't Be Afraid of the Dark,Regression
Premonition,Before I Go to Sleep,28 Days,10 Cloverfield Lane,Birth,The Sixth Sense
The Tigger Movie,Winnie the Pooh,The Christmas Bunny,Miss Potter,Dwegons,Pooh's Heffalump Movie
Orphan,Bad Grandpa,#Horror,House on Haunted Hill,Devil,Flightplan
Max,Benji,Marley & Me,Hachi: A Dog's Tale,Good Boy!,White Fang
Epic Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Charlie and the Chocolate Factory,Osmosis Jones,The Croods,The Adventures of Rocky & Bullwinkle
Spotlight,Elizabeth,Black Mass,Mystic River,The Verdict,Find Me Guilty
Lakeview Terrace,Duplex,The Sleepwalker,St. Vincent,Dark Blue,Easy Money
The Grudge 2,The Grudge,Devil,The Forest,May,The Eye
How Stella Got Her Groove Back,Housefull,Lovely & Amazing,The Velocity of Gary,Life or Something Like It,Living Out Loud
Bill & Ted's Bogus Journey,Automata,Bicentennial Man,Bill & Ted's Excellent Adventure,Logan's Run,Heartbeeps
Man of the Year,Swing Vote,Absolute Power,Man on the Moon,Wag the Dog,The American President
The Black Hole,Supernova,Journey to Saturn,Serenity,Meet Dave,Event Horizon
The American,Rampage,Limbo,Hitman,The Devil's Double,Nine Queens
Selena,The Crime of Padre Amaro,Love's Abiding Joy,12 Angry Men,My Girl,Blue Car
Vampires Suck,Fright Night,Underworld: Awakening,BloodRayne,Prom,Blade II
Babel,11:14,Not Easily Broken,End of the Spear,The Curious Case of Benjamin Button,Love Ranch
This Is Where I Leave You,My Girl,Eulogy,Little Boy,Zookeeper,Life During Wartime
Doubt,The Night Listener,I Love Your Work,Smilla's Sense of Snow,Before Sunrise,Latter Days
Team America: World Police,G-Force,The Game of Their Lives,The Triplets of Belleville,Miracle,Austin Powers in Goldmember
Texas Chainsaw 3D,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre: The Beginning,The Texas Chain Saw Massacre,The Tooth Fairy,Jennifer's Body
Copycat,Eye of the Beholder,Suspect Zero,My Soul to Take,Switchback,House of 1000 Corpses
Scary Movie 5,The Master of Disguise,Darkness,The Croods,My Big Fat Greek Wedding 2,Marley & Me
Paint Your Wagon,King's Ransom,Tombstone,The Claim,Eight Legged Freaks,How Green Was My Valley
Milk,The Broken Hearts Club: A Romantic Comedy,The Bubble,Tiger Orange,Weekend,A Home at the End of the World
Risen,Son of God,The Last Temptation of Christ,The Robe,The Young Messiah,Starship Troopers
Ghost Ship,Devil,Poseidon,Titanic,Supernova,The Black Hole
A Very Harold & Kumar Christmas,A Charlie Brown Christmas,Black Nativity,Christmas with the Kranks,Harold & Kumar Escape from Guantanamo Bay,Stranger Than Fiction
Wild Things,Because of Winn-Dixie,Sleepers,Cape Fear,Once Upon a Time in America,The Raven
The Stepfather,Halloween 4: The Return of Michael Myers,Housebound,Halloween: Resurrection,The Slaughter Rule,Don McKay
The Debt,Munich,Lone Survivor,Black Book,The Rage: Carrie 2,Extreme Measures
High Fidelity,Walking and Talking,Fetching Cody,Once,Punch-Drunk Love,Boys and Girls
One Missed Call,Devil,In Time,Demonic,House on Haunted Hill,The Eye
Eye for an Eye,A Time to Kill,Divine Secrets of the Ya-Ya Sisterhood,Hard Candy,Archaeology of a Woman,Under the Same Moon
The Bank Job,Excessive Force,Dream with the Fishes,Deadfall,The Upside of Anger,Armored
Eternal Sunshine of the Spotless Mind,Her,Code 46,When Did You Last See Your Father?,Crazy/Beautiful,Melancholia
You Again,The DUFF,Bachelorette,How to Deal,My Big Fat Greek Wedding 2,There Goes My Baby
Street Kings,Jimmy and Judy,In the Valley of Elah,Nine Queens,I Am Wrath,Romeo Is Bleeding
The World's End,The Helix... Loaded,The Best Man Holiday,Khiladi 786,Dumb and Dumber To,Old School
Nancy Drew,Child 44,Insomnia,Twixt,Frequency,Young Sherlock Holmes
Daybreakers,Blade II,The Dead Undead,BloodRayne,Priest,Vampire in Brooklyn
She's Out of My League,This Means War,That Awkward Moment,My Big Fat Greek Wedding 2,Scary Movie 5,The Proposal
Monte Carlo,The Importance of Being Earnest,Virgin Territory,The Incredibly True Adventure of Two Girls In Love,Around the World in 80 Days,Easy Virtue
Stay Alive,eXistenZ,Grandma's Boy,Pathology,Wreck-It Ralph,Pixels
Quigley Down Under,Love Me Tender,Arn: The Knight Templar,Silver Medalist,Caravans,Red Tails
Alpha and Omega,Alpha and Omega: The Legend of the Saw Tooth Cave,Meet the Deedles,Hoodwinked!,Hoodwinked Too! Hood VS. Evil,Over Her Dead Body
The Covenant,Goosebumps,Dragonball Evolution,Red Sonja,The League of Extraordinary Gentlemen,Small Soldiers
Stick It,Hands of Stone,Ice Princess,My Dog Tulip,It's Kind of a Funny Story,Cool Runnings
Shorts,Growing Up Smith,Over the Hedge,Bogus,Eulogy,Nicholas Nickleby
To Die For,Holy Man,Boynton Beach Club,Extreme Movie,The Dress,Confessions of a Dangerous Mind
Nerve,Wreck-It Ralph,Truth or Dare,Casino Royale,Grandma's Boy,21 Jump Street
Appaloosa,Nine Queens,Mi America,Clay Pigeons,River's Edge,Silverado
Vampires,Priest,Yoga Hosers,Blade II,BloodRayne,Exorcist: The Beginning
Psycho,Under the Same Moon,Nine Queens,The Apartment,Hesher,This Is Martin Bonner
My Best Friend's Girl,Bride Wars,Nutty Professor II: The Klumps,Never Again,About Last Night,My Big Fat Greek Wedding 2
Endless Love,The Heart of Me,Desire,Say It Isn't So,Love Letters,Veer-Zaara
Georgia Rule,The Way Way Back,Just Looking,Diary of a Wimpy Kid: Dog Days,Eulogy,The Inkwell
Under the Rainbow,Restless,Bobby,Tea with Mussolini,The Best Exotic Marigold Hotel,Undiscovered
Ladyhawke,Stolen,Fatal Attraction,Dangerous Liaisons,The Twilight Saga: Breaking Dawn - Part 2,Gods of Egypt
Simon Birch,Alvin and the Chipmunks,The Mighty,Walter,The Out-of-Towners,Touching the Void
Reign Over Me,The Grandmaster,The Work and the Glory,Hoot,Footloose,The Bélier Family
Into the Wild,The Grey,Limbo,127 Hours,I Dreamed of Africa,Troop Beverly Hills
School for Scoundrels,Housefull,Rock of Ages,Win a Date with Tad Hamilton!,Just My Luck,Moliere
Silent Hill: Revelation 3D,Boogeyman,Open Secret,Pokémon: Spell of the Unknown,Domestic Disturbance,The Beastmaster
From Dusk Till Dawn,Desperado,Bats,American Heist,The Last Stand,No Man's Land: The Rise of Reeker
Pooh's Heffalump Movie,Karachi se Lahore,The Hills Have Eyes,The Tigger Movie,The Brave Little Toaster,Home
Home for the Holidays,Loose Cannons,Lovely & Amazing,Enough Said,Pieces of April,Bridget Jones's Diary
Kung Fu Hustle,Legend of a Rabbit,Bulletproof Monk,Kung Fu Panda 2,Kung Pow: Enter the Fist,Kung Fu Panda
The Country Bears,Paddington,Karachi se Lahore,The Jungle Book 2,Johnson Family Vacation,Nicholas Nickleby
The Kite Runner,Taxi to the Dark Side,Max,Rockaway,Rambo III,Character
21 Grams,Higher Ground,Love Letters,Ta Ra Rum Pum,End of the Spear,The Heart of Me
Paparazzi,I Am Wrath,The Marine,Awake,Forty Shades of Blue,Extreme Ops
A Guy Thing,Can't Hardly Wait,Project X,Def Jam's How to Be a Player,Last Vegas,American Wedding
Loser,Like Crazy,Sydney White,Damsels in Distress,The Prince & Me,Admission
Capitalism: A Love Story,Roger & Me,Sicko,Fahrenheit 9/11,Wal-Mart: The High Cost of Low Price,Give Me Shelter
The Greatest Story Ever Told,Winnie Mandela,The Visual Bible: The Gospel of John,Nixon,Mandela: Long Walk to Freedom,55 Days at Peking
Secret in Their Eyes,Mindhunters,Slow Burn,The Firm,The X Files: I Want to Believe,Brigham City
Disaster Movie,Jackass 3D,Meet the Spartans,My Big Fat Independent Movie,Extreme Movie,Jackass: The Movie
Armored,Triple 9,Checkmate,The Crew,Amidst the Devil's Wings,Blood and Wine
The Man Who Knew Too Little,Checkmate,London Has Fallen,The Man,Nighthawks,Mr. Nice Guy
What's Your Number?,Dry Spell,I Don't Know How She Does It,Baby Boy,The Secret Life of Walter Mitty,Vanilla Sky
Lockout,Ender's Game,Armageddon,Fortress,Moonraker,The Time Machine
Envy,The Station Agent,The Shaggy Dog,Dick,My Dog Tulip,Be Kind Rewind
Crank: High Voltage,Crank,Lethal Weapon 4,Blood Work,Kiss of the Dragon,Safe
Bullets Over Broadway,42nd Street,Julia,Raising Helen,The Stepfather,The Corruptor
One Night with the King,Snow White and the Huntsman,The Queen,Winnie Mandela,Redemption Road,Marie Antoinette
The Quiet American,The Hunting Party,Flyboys,Gone with the Wind,The Lovers,Red Tails
The Weather Man,About Schmidt,Chicago,When Harry Met Sally...,Solitary Man,The Kids Are All Right
Undisputed,Penitentiary,Bronson,Prison,Civil Brand,Escape Plan
Ghost Town,Never Again,I Married a Strange Person!,Peggy Sue Got Married,Just My Luck,Breakin' All the Rules
12 Rounds,Last Action Hero,Ocean's Eleven,The Corruptor,Takers,Stolen
Let Me In,Fright Night,The Forsaken,Stake Land,The NeverEnding Story,The Bubble
3 Ninjas Kick Back,Teenage Mutant Ninja Turtles III,Big Hero 6,Furious 7,Four Brothers,Bad Words
Be Kind Rewind,Good Dick,The Good Girl,The Station Agent,Next Stop Wonderland,Middle of Nowhere
Mrs Henderson Presents,Bad Grandpa,"Yours, Mine and Ours",The Inkwell,Driving Miss Daisy,Tea with Mussolini
Triple 9,Armored,This Thing of Ours,Takers,Now You See Me 2,Man on a Ledge
Deconstructing Harry,3 Backyards,Isn't She Great,Madadayo,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,How to Lose Friends & Alienate People
Three to Tango,Tadpole,Never Again,The Broken Hearts Club: A Romantic Comedy,Tango,Boat Trip
Burnt,No Reservations,Simply Irresistible,I Am Love,Tiny Furniture,The Hundred-Foot Journey
We're No Angels,Bon Cop Bad Cop,Flawless,Nine Queens,Jimmy and Judy,Escape from Alcatraz
Everyone Says I Love You,The Last Five Years,Fame,Romance & Cigarettes,Ira & Abby,Mutual Appreciation
Death Sentence,I Am Wrath,Amidst the Devil's Wings,The Devil's Double,The Last House on the Left,Deadfall
Everybody's Fine,The Naked Gun 33⅓: The Final Insult,Hot Rod,Robot & Frank,Dragonfly,Catch Me If You Can
Superbabies: Baby Geniuses 2,Baby's Day Out,Baby Geniuses,Three Men and a Baby,Neighbors,L!fe Happens
The Man,Hot Pursuit,Drive Hard,R.I.P.D.,The Man Who Knew Too Little,Ong Bak 2
Code Name: The Cleaner,Confidence,"Big Mommas: Like Father, Like Son",Donnie Brasco,To Save A Life,The Helix... Loaded
Connie and Carla,The Thief and the Cobbler,Metropolis,Larry the Cable Guy: Health Inspector,Hobo with a Shotgun,Welcome Home Roscoe Jenkins
Sweet Charity,He's Just Not That Into You,"New York, New York",Anomalisa,Moonlight Mile,Jesus' Son
Inherent Vice,Undiscovered,The Hoax,Blood Ties,Jesus' Son,Kiss Kiss Bang Bang
Doogal,The Master of Disguise,Charlie and the Chocolate Factory,Nicholas Nickleby,G-Force,The Hills Have Eyes
Battle of the Year,Step Up 3D,A Farewell to Arms,Beat the World,Ben-Hur,ABCD (Any Body Can Dance)
An American Carol,The Work and the Glory II: American Zion,The Deported,American Desi,"Peace, Propaganda & the Promised Land",Our Brand Is Crisis
Machete Kills,Invasion U.S.A.,Easy Money,The November Man,Exiled,The Sentinel
Willard,The Last House on the Left,The Crime of Padre Amaro,The Beastmaster,Bad Words,The Night Visitor
Strange Wilderness,Edtv,Extreme Movie,Troop Beverly Hills,Money Talks,My Big Fat Greek Wedding 2
Topsy-Turvy,Fame,Bandslam,Another Year,Coal Miner's Daughter,ABCD (Any Body Can Dance)
Little Boy,Winter in Wartime,Paa,Tea with Mussolini,The Crime of Padre Amaro,Letters from Iwo Jima
A Dangerous Method,Abandoned,Steve Jobs,Under the Skin,Escape from Alcatraz,Evil Words
A Scanner Darkly,Automata,Equilibrium,Minority Report,Cloud Atlas,Terminator Genisys
Chasing Mavericks,Riding Giants,"Surfer, Dude",The Perfect Wave,Redemption Road,Rush
Alone in the Dark,Dylan Dog: Dead of Night,The Relic,Subconscious,Zero Effect,The Lords of Salem
Bandslam,High School Musical,High School Musical 2,High School Musical 3: Senior Year,Yentl,Mr. Holland's Opus
Birth,"Run, Hide, Die",P.S. I Love You,Winnie Mandela,Darling Companion,Raising Cain
A Most Violent Year,Dead Man Down,The Taking of Pelham 1 2 3,Trash,The Yards,Changing Lanes
Passchendaele,We Were Soldiers,Operation Chromite,Glory,Inchon,Gods and Generals
Flash of Genius,The Express,Hachi: A Dog's Tale,Cradle Will Rock,Winnie Mandela,Redemption Road
I'm Not There.,The Last Waltz,Walk Hard: The Dewey Cox Story,Scott Walker: 30 Century Man,Fantasia,Get on Up
The Cold Light of Day,Transporter 2,Nicholas Nickleby,Area 51,The Last Godfather,Taken
The Brothers Bloom,Funny Ha Ha,Ice Age: Continental Drift,Silver Medalist,The Life Aquatic with Steve Zissou,The Secret Life of Walter Mitty
"Synecdoche, New York",Raising Helen,Last I Heard,Up,Anomalisa,Mutual Friends
Princess Mononoke,Howl's Moving Castle,Rocket Singh: Salesman of the Year,Spirit: Stallion of the Cimarron,The Good Dinosaur,Frozen
Bon voyage,The Horseman on the Roof,Enemy at the Gates,Flyboys,The Bubble,Catch-22
Can't Stop the Music,Scott Walker: 30 Century Man,Extreme Movie,Along the Roadside,The Greatest Movie Ever Sold,Top Spin
The Proposition,Torque,Out of the Furnace,Broken Horses,The Assassination of Jesse James by the Coward Robert Ford,Deadfall
My All American,"McFarland, USA",Facing the Giants,Winnie Mandela,The Express,The 5th Quarter
Marci X,Brown Sugar,Dave Chappelle's Block Party,You Got Served,Tupac: Resurrection,American Desi
Equilibrium,Terminator 2: Judgment Day,The Helix... Loaded,Mad Max: Fury Road,Terminator Genisys,Serenity
The Children of Huang Shi,City of Life and Death,The Horseman on the Roof,Restless,The Quiet American,Snow Falling on Cedars
The Yards,Amidst the Devil's Wings,Walking Tall,Nine Queens,A Most Violent Year,Shooter
The Oogieloves in the Big Balloon Adventure,Stitches,Can't Hardly Wait,Def Jam's How to Be a Player,Harriet the Spy,The Celebration
By the Sea,The Best Exotic Marigold Hotel,Dirty Pretty Things,Gabriela,The Tourist,The Statement
Steamboy,Shipwrecked,Corpse Bride,Robots,Black Knight,The Duchess
The Game of Their Lives,The Perfect Game,Seabiscuit,Miracle,Coach Carter,We Are Marshall
All Good Things,City By The Sea,The Pledge,Righteous Kill,Double Jeopardy,Midnight in the Garden of Good and Evil
Rapa Nui,Return to the Blue Lagoon,Iguana,Swept Away,Spy Kids 2: The Island of Lost Dreams,Prince of Persia: The Sands of Time
CJ7,Nicholas Nickleby,Sunshine Cleaning,Peggy Sue Got Married,Happy Christmas,Bogus
The Visitors II: The Corridors of Time,The Visitors,My Big Fat Greek Wedding 2,Just Visiting,Army of Darkness,Black Knight
Dylan Dog: Dead of Night,The Helix... Loaded,Alone in the Dark,Poultrygeist: Night of the Chicken Dead,Oculus,The Dead Undead
People I Know,Sugar Hill,London,City Hall,The Contender,Four Single Fathers
The Tempest,Richard III,Romeo + Juliet,The Widow of Saint-Pierre,Iguana,The Angry Birds Movie
Regression,Cure,The Unborn,Raising Cain,Devil,Boogeyman
Three Kingdoms: Resurrection of the Dragon,Silver Medalist,Hero,Bloody Sunday,Amidst the Devil's Wings,The Monuments Men
